train/n_updates,train/value_loss,time/time_elapsed,train/std,time/iterations,time/total_timesteps,train/explained_variance,train/entropy_loss,time/fps,train/policy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
14999,0.0037883566692471504,426,0.458837628364563,15000,120000,-0.0009382963180541992,-2.4462623596191406,281,-0.13926944136619568,0.00096,277.56,-91.31685784
15099,0.006557894870638847,428,0.4499949514865875,15100,120800,-0.007590889930725098,-2.356747627258301,281,0.15687447786331177,0.00096,277.56,-92.99846027999997
15199,9.848491754382849e-05,431,0.43629392981529236,15200,121600,-0.0522458553314209,-2.228858470916748,281,-0.01264578104019165,0.00096,277.56,-92.99846027999997
15299,0.009422995150089264,434,0.43051451444625854,15300,122400,-0.8283959627151489,-2.159010887145996,281,0.11627060174942017,0.00096,292.95,-92.81766650999998
15399,0.00026405442622490227,437,0.42143723368644714,15400,123200,-0.317138671875,-2.053375005722046,281,0.004633079282939434,0.00096,292.95,-92.81766650999998
15499,1.9429642634349875e-05,440,0.4114918112754822,15500,124000,0.035889387130737305,-1.9452097415924072,281,0.0004940780345350504,0.00096,307.48,-92.69223285
15599,0.004761425778269768,443,0.3995874524116516,15600,124800,-0.21322786808013916,-1.8159290552139282,281,-0.1582212746143341,0.00096,307.48,-92.69223285
15699,0.00015616910241078585,446,0.3937095105648041,15700,125600,-0.21709227561950684,-1.730953574180603,281,-0.005013420712202787,0.00096,323.15,-92.49419590000001
15799,0.002427277620881796,449,0.3856097459793091,15800,126400,-0.4820770025253296,-1.623018741607666,281,-0.1194455474615097,0.00096,323.15,-92.49419590000001
15899,0.014997230842709541,452,0.37919968366622925,15900,127200,-0.7656010389328003,-1.539267897605896,281,0.28500914573669434,0.00096,339.0,-92.2691514
15999,0.0006032045348547399,455,0.3696843385696411,16000,128000,-2.5880141258239746,-1.4267070293426514,281,0.019247394055128098,0.00096,339.0,-92.2691514
16099,1.9775856733322144,458,0.35828766226768494,16100,128800,-105.60302734375,-1.2853280305862427,281,0.5655014514923096,0.00096,354.04,-92.02904134999997
16199,4.1913754103006795e-05,461,0.3491554856300354,16200,129600,-0.00022614002227783203,-1.1650824546813965,281,0.0006978307501412928,0.00096,354.04,-92.02904134999997
16299,0.046130139380693436,463,0.3400716781616211,16300,130400,-0.0410456657409668,-1.0191658735275269,281,-0.17323826253414154,0.00096,368.75,-91.73267032999996
16399,0.00010210901382379234,466,0.3348200023174286,16400,131200,7.212162017822266e-05,-0.922104001045227,280,0.00941440463066101,0.00096,368.75,-91.73267032999996
16499,0.03465418145060539,469,0.32515138387680054,16500,132000,0.604830414056778,-0.7802626490592957,280,0.16046875715255737,0.00096,383.9,-91.37012187999997
16599,0.0007675954257138073,472,0.318685382604599,16600,132800,-0.00392603874206543,-0.6788228750228882,280,0.0005303535144776106,0.00096,383.9,-91.37012187999997
16699,0.045758020132780075,475,0.3099447786808014,16700,133600,-2.117678642272949,-0.5398286581039429,280,0.04084896668791771,0.00096,383.9,-92.60841518
16799,9.330504690296948e-05,478,0.3016565144062042,16800,134400,-0.30403363704681396,-0.41216331720352173,280,-0.0072875600308179855,0.00096,383.9,-92.60841518
